FREQ;Frekvens;INSTRUMENT_TYPE;Instrumenttype;TENOR;Løpetid;UNIT_MEASURE;Måleenhet;DECIMALS;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-09;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-10;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-11;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-12;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-15;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-16;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-17;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-18;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-19;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-22;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-23;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-24;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-25;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-26;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-29;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-11-30;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-01;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-02;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-03;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-06;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-07;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-08;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-09;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-10;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-13;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-14;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-15;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-16;1,25;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-17;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-20;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-21;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-22;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-23;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-27;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-28;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-29;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-30;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2021-12-31;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-03;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-04;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-05;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-06;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-07;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-10;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-11;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-12;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-13;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-14;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-17;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-18;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-19;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-20;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-21;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-24;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-25;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-26;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-27;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-28;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-01-31;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-01;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-02;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-03;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-04;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-07;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-08;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-09;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-10;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-11;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-14;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-15;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-16;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-17;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-18;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-21;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-22;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-23;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-24;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-25;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-02-28;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-01;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-02;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-03;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-04;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-07;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-08;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-09;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-10;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-11;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-14;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-15;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-16;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-17;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-18;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-21;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-22;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-23;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-24;1,5;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-25;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-28;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-29;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-30;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-03-31;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-01;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-04;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-05;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-06;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-07;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-08;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-11;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-12;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-13;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-19;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-20;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-21;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-22;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-25;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-26;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-27;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-28;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-04-29;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-02;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-03;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-04;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-05;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-06;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-09;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-10;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-11;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-12;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-13;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-16;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-18;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-19;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-20;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-23;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-24;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-25;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-27;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-30;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-05-31;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-06-01;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-06-02;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-06-03;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-06-07;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-06-08;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-06-09;1,75;;
B;Virkedag;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;E;Slutten av dagen;2022-06-10;1,75;;
