FREQ;Frekvens;INSTRUMENT_TYPE;Instrumenttype;TENOR;Løpetid;UNIT_MEASURE;Måleenhet;DECIMALS;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018-10;1,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018-11;1,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018-12;1,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-01;1,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-02;1,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-03;1,82;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-04;2;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-05;2;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-06;2,08;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-07;2,25;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-08;2,25;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-09;2,33;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-10;2,5;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-11;2,5;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-12;2,5;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-01;2,5;;
