FREQ;Frekvens;INSTRUMENT_TYPE;Instrumenttype;TENOR;Løpetid;UNIT_MEASURE;Måleenhet;DECIMALS;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018-10;0,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018-11;0,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018-12;0,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-01;0,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-02;0,75;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-03;0,82;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-04;1;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-05;1;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-06;1,08;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-07;1,25;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-08;1,25;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-09;1,33;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-10;1,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-11;1,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-12;1,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-01;1,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-02;1,5;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-03;0,99;;
M;Månedlig;KPRA;Styringsrenten;SD;Foliorenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2020-04;0,25;;
