
Dato;Månedsendring (prosent)
1991M02;0,3
1991M03;0,7
1991M04;0,3
1991M05;0,2
1991M06;0,2
1991M07;0,0
1991M08;0,0
1991M09;0,6
1991M10;0,0
1991M11;0,0
1991M12;0,0
1992M01;0,0
1992M02;0,3
1992M03;0,8
1992M04;0,3
1992M05;0,2
1992M06;0,2
1992M07;0,2
1992M08;-0,3
1992M09;0,5
1992M10;0,2
1992M11;0,0
1992M12;0,0
1993M01;0,3
1993M02;0,3
1993M03;0,9
1993M04;0,2
1993M05;0,0
1993M06;0,2
1993M07;-0,2
1993M08;-0,2
1993M09;0,5
1993M10;0,0
1993M11;0,0
1993M12;-0,2
1994M01;-0,2
1994M02;0,3
1994M03;0,5
1994M04;0,2
1994M05;0,0
1994M06;0,3
1994M07;0,2
1994M08;0,0
1994M09;0,6
1994M10;0,0
1994M11;0,0
1994M12;0,0
1995M01;0,6
1995M02;0,3
1995M03;0,6
1995M04;0,0
1995M05;0,1
1995M06;0,3
1995M07;-0,1
1995M08;-0,1
1995M09;0,6
1995M10;0,0
1995M11;-0,1
1995M12;0,0
1996M01;-0,4
1996M02;0,1
1996M03;0,4
1996M04;0,3
1996M05;0,1
1996M06;0,1
1996M07;0,3
1996M08;0,0
1996M09;0,4
1996M10;0,4
1996M11;-0,1
1996M12;0,0
1997M01;0,7
1997M02;0,4
1997M03;0,1
1997M04;0,0
1997M05;0,1
1997M06;0,3
1997M07;-0,1
1997M08;-0,1
1997M09;0,6
1997M10;0,1
1997M11;0,1
1997M12;0,0
1998M01;0,4
1998M02;0,4
1998M03;0,6
1998M04;0,0
1998M05;-0,1
1998M06;0,3
1998M07;0,0
1998M08;-0,3
1998M09;0,8
1998M10;0,0
1998M11;0,1
1998M12;0,1
1999M01;0,4
1999M02;0,1
1999M03;0,7
1999M04;0,3
1999M05;-0,1
1999M06;0,1
1999M07;-0,3
1999M08;-0,4
1999M09;1,0
1999M10;0,4
1999M11;0,4
1999M12;0,1
2000M01;0,5
2000M02;0,4
2000M03;0,1
2000M04;0,3
2000M05;0,1
2000M06;0,5
2000M07;-0,4
2000M08;0,0
2000M09;0,9
2000M10;0,0
2000M11;0,5
2000M12;-0,1
2001M01;0,8
2001M02;0,8
2001M03;0,3
2001M04;0,4
2001M05;0,5
2001M06;0,0
2001M07;-1,3
2001M08;-0,1
2001M09;0,5
2001M10;0,0
2001M11;0,0
2001M12;0,3
2002M01;0,1
2002M02;0,1
2002M03;0,4
2002M04;0,1
2002M05;0,3
2002M06;0,0
2002M07;-0,1
2002M08;-0,4
2002M09;0,6
2002M10;0,4
2002M11;0,4
2002M12;0,8
2003M01;2,4
2003M02;0,1
2003M03;-0,7
2003M04;-0,7
2003M05;-0,6
2003M06;-0,2
2003M07;-0,4
2003M08;0,3
2003M09;0,5
2003M10;0,0
2003M11;0,1
2003M12;0,0
2004M01;-0,1
2004M02;0,1
2004M03;0,5
2004M04;0,1
2004M05;0,1
2004M06;0,0
2004M07;-0,1
2004M08;-0,2
2004M09;0,6
2004M10;0,2
2004M11;0,0
2004M12;-0,1
2005M01;-0,2
2005M02;0,1
2005M03;0,5
2005M04;0,5
2005M05;0,4
2005M06;0,0
2005M07;-0,2
2005M08;0,1
2005M09;0,7
2005M10;0,1
2005M11;0,0
2005M12;-0,1
2006M01;-0,2
2006M02;0,8
2006M03;0,2
2006M04;0,8
2006M05;0,0
2006M06;-0,1
2006M07;-0,4
2006M08;0,0
2006M09;1,4
2006M10;0,1
2006M11;-0,1
2006M12;-0,5
2007M01;-1,2
2007M02;0,4
2007M03;0,6
2007M04;0,0
2007M05;0,1
2007M06;-0,1
2007M07;-0,2
