Dato;KPI;KPI-JAE;KPIXE;Trimmet snitt;Vektet median;;;;;;;;;
31/01/2006;1,80;0,80;1,30;1,60;1,70;;;;;;;;;
28/02/2006;2,60;1,00;1,40;1,70;1,80;;;;;;;;;
31/03/2006;2,30;0,80;1,40;1,50;1,60;;;;;;;;;
30/04/2006;2,70;0,80;1,30;1,50;1,80;;;;;;;;;
31/05/2006;2,30;0,80;1,20;1,50;1,60;;;;;;;;;
30/06/2006;2,20;0,80;1,30;1,50;1,70;;;;;;;;;
31/07/2006;2,10;0,60;1,10;1,50;1,70;;;;;;;;;
31/08/2006;1,90;0,20;0,90;1,30;2,10;;;;;;;;;
30/09/2006;2,70;0,60;1,00;1,30;1,60;;;;;;;;;
31/10/2006;2,70;0,70;1,20;1,40;2,30;;;;;;;;;
30/11/2006;2,50;0,80;1,30;1,70;2,30;;;;;;;;;
31/12/2006;2,20;0,90;1,40;1,60;1,90;;;;;;;;;
31/01/2007;1,20;1,00;1,50;1,20;1,70;;;;;;;;;
28/02/2007;0,70;1,10;1,50;1,10;1,70;;;;;;;;;
31/03/2007;1,10;1,50;1,90;1,40;1,40;;;;;;;;;
30/04/2007;0,20;1,30;1,80;1,20;1,30;;;;;;;;;
31/05/2007;0,40;1,30;1,90;1,20;1,20;;;;;;;;;
30/06/2007;0,40;1,20;1,70;1,10;1,10;;;;;;;;;
31/07/2007;0,50;1,40;1,80;1,10;1,50;;;;;;;;;
31/08/2007;0,40;1,90;2,30;1,50;1,60;;;;;;;;;
30/09/2007;-0,40;1,70;2,10;1,60;1,80;;;;;;;;;
31/10/2007;-0,20;1,40;1,90;1,60;1,50;;;;;;;;;
30/11/2007;1,50;1,50;2,00;1,90;1,60;;;;;;;;;
31/12/2007;2,80;1,80;2,30;2,60;2,20;;;;;;;;;
31/01/2008;3,60;1,90;2,40;2,90;2,40;;;;;;;;;
29/02/2008;3,80;2,20;2,80;3,10;2,30;;;;;;;;;
31/03/2008;3,20;2,20;2,70;3,30;3,00;;;;;;;;;
30/04/2008;3,20;2,30;3,00;3,40;3,10;;;;;;;;;
31/05/2008;3,10;2,30;2,90;3,30;3,00;;;;;;;;;
30/06/2008;3,40;2,50;3,00;3,50;3,40;;;;;;;;;
31/07/2008;4,30;2,90;3,50;3,80;3,60;;;;;;;;;
31/08/2008;4,50;2,70;3,40;3,60;3,10;;;;;;;;;
30/09/2008;5,30;3,10;3,70;3,90;3,10;;;;;;;;;
31/10/2008;5,40;3,40;3,60;4,00;3,20;;;;;;;;;
30/11/2008;3,10;2,70;2,90;3,10;3,20;;;;;;;;;
31/12/2008;2,20;2,70;2,80;2,70;2,90;;;;;;;;;
31/01/2009;2,30;2,80;2,90;2,80;4,10;;;;;;;;;
28/02/2009;2,50;3,00;3,00;3,00;4,00;;;;;;;;;
31/03/2009;2,50;2,60;2,70;3,00;3,40;;;;;;;;;
30/04/2009;2,90;2,90;2,70;3,00;3,50;;;;;;;;;
31/05/2009;3,10;2,80;2,80;3,10;3,90;;;;;;;;;
30/06/2009;3,40;3,30;3,30;3,30;3,70;;;;;;;;;
31/07/2009;2,30;2,50;2,50;2,80;3,40;;;;;;;;;
31/08/2009;1,90;2,40;2,30;2,20;3,10;;;;;;;;;
30/09/2009;1,20;2,40;2,30;2,20;2,80;;;;;;;;;
31/10/2009;0,70;2,00;2,00;1,90;2,70;;;;;;;;;
30/11/2009;1,60;2,50;2,30;2,70;2,50;;;;;;;;;
31/12/2009;2,00;2,40;2,40;2,70;2,30;;;;;;;;;
31/01/2010;2,50;2,40;2,40;2,50;2,50;;;;;;;;;
28/02/2010;2,90;1,90;2,10;2,50;3,00;;;;;;;;;
31/03/2010;3,50;1,70;1,90;2,50;2,70;;;;;;;;;
30/04/2010;3,30;1,60;2,00;2,30;2,50;;;;;;;;;
31/05/2010;2,60;1,60;1,90;2,10;2,20;;;;;;;;;
30/06/2010;1,90;1,30;1,60;1,90;2,40;;;;;;;;;
31/07/2010;1,90;1,30;1,50;1,90;2,40;;;;;;;;;
31/08/2010;1,90;1,30;1,60;1,90;2,80;;;;;;;;;
30/09/2010;1,80;0,90;1,20;1,70;2,50;;;;;;;;;
31/10/2010;2,10;1,00;1,30;1,90;2,60;;;;;;;;;
30/11/2010;2,00;1,00;1,40;1,70;2,50;;;;;;;;;
31/12/2010;2,80;1,10;1,50;1,80;2,60;;;;;;;;;
31/01/2011;2,00;0,70;1,00;1,20;2,30;;;;;;;;;
28/02/2011;1,20;0,80;1,10;1,10;2,10;;;;;;;;;
31/03/2011;1,00;0,90;1,20;0,90;1,70;;;;;;;;;
30/04/2011;1,30;1,30;1,60;0,90;2,00;;;;;;;;;
31/05/2011;1,60;1,10;1,20;1,30;2,00;;;;;;;;;
30/06/2011;1,40;0,70;0,80;1,10;2,00;;;;;;;;;
31/07/2011;1,60;1,10;1,30;1,20;2,00;;;;;;;;;
31/08/2011;1,30;0,80;0,90;1,00;1,90;;;;;;;;;
30/09/2011;1,50;1,30;1,30;1,20;1,70;;;;;;;;;
31/10/2011;1,30;1,20;1,20;1,30;1,40;;;;;;;;;
30/11/2011;1,10;1,00;1,00;1,10;1,60;;;;;;;;;
31/12/2011;0,10;1,00;0,90;1,10;1,70;;;;;;;;;
31/01/2012;0,50;1,30;1,20;1,40;1,70;;;;;;;;;
29/02/2012;1,20;1,30;1,20;1,30;1,70;;;;;;;;;
31/03/2012;0,70;1,50;1,30;1,40;1,70;;;;;;;;;
30/04/2012;0,30;0,90;0,60;1,10;1,70;;;;;;;;;
31/05/2012;0,50;1,30;1,10;1,30;1,60;;;;;;;;;
30/06/2012;0,30;1,20;0,90;1,10;1,70;;;;;;;;;
31/07/2012;0,20;1,30;1,00;1,00;1,80;;;;;;;;;
31/08/2012;0,30;1,20;0,90;1,10;1,50;;;;;;;;;
30/09/2012;0,50;1,10;0,90;1,20;1,60;;;;;;;;;
31/10/2012;1,10;1,20;0,90;1,10;1,90;;;;;;;;;
30/11/2012;1,20;1,30;1,10;1,10;2,00;;;;;;;;;
31/12/2012;1,40;1,00;0,90;1,40;1,80;;;;;;;;;
