,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.9901,0.9803,0.9706,0.961,0.9515,0.942,0.9327,0.9235,0.9143,0.9053,0.8963,0.8874,0.8787,0.87,0.8613,0.8528,0.8444,0.836,0.8277,0.8195,0.8114,0.8034,0.7954,0.7876,0.7798,0.772,0.7644,0.7568,0.7493,0.7419
2,0.9804,0.9612,0.9423,0.9238,0.9057,0.888,0.8706,0.8535,0.8368,0.8203,0.8043,0.7885,0.773,0.7579,0.743,0.7284,0.7142,0.7002,0.6864,0.673,0.6598,0.6468,0.6342,0.6217,0.6095,0.5976,0.5859,0.5744,0.5631,0.5521
3,0.9709,0.9426,0.9151,0.8885,0.8626,0.8375,0.8131,0.7894,0.7664,0.7441,0.7224,0.7014,0.681,0.6611,0.6419,0.6232,0.605,0.5874,0.5703,0.5537,0.5375,0.5219,0.5067,0.4919,0.4776,0.4637,0.4502,0.4371,0.4243,0.412
4,0.9615,0.9246,0.889,0.8548,0.8219,0.7903,0.7599,0.7307,0.7026,0.6756,0.6496,0.6246,0.6006,0.5775,0.5553,0.5339,0.5134,0.4936,0.4746,0.4564,0.4388,0.422,0.4057,0.3901,0.3751,0.3607,0.3468,0.3335,0.3207,0.3083
5,0.9524,0.907,0.8638,0.8227,0.7835,0.7462,0.7107,0.6768,0.6446,0.6139,0.5847,0.5568,0.5303,0.5051,0.481,0.4581,0.4363,0.4155,0.3957,0.3769,0.3589,0.3418,0.3256,0.3101,0.2953,0.2812,0.2678,0.2551,0.2429,0.2314
6,0.9434,0.89,0.8396,0.7921,0.7473,0.705,0.6651,0.6274,0.5919,0.5584,0.5268,0.497,0.4688,0.4423,0.4173,0.3936,0.3714,0.3503,0.3305,0.3118,0.2942,0.2775,0.2618,0.247,0.233,0.2198,0.2074,0.1956,0.1846,0.1741
7,0.9346,0.8734,0.8163,0.7629,0.713,0.6663,0.6227,0.582,0.5439,0.5083,0.4751,0.444,0.415,0.3878,0.3624,0.3387,0.3166,0.2959,0.2765,0.2584,0.2415,0.2257,0.2109,0.1971,0.1842,0.1722,0.1609,0.1504,0.1406,0.1314
8,0.9259,0.8573,0.7938,0.735,0.6806,0.6302,0.5835,0.5403,0.5002,0.4632,0.4289,0.3971,0.3677,0.3405,0.3152,0.2919,0.2703,0.2502,0.2317,0.2145,0.1987,0.1839,0.1703,0.1577,0.146,0.1352,0.1252,0.1159,0.1073,0.0994
9,0.9174,0.8417,0.7722,0.7084,0.6499,0.5963,0.547,0.5019,0.4604,0.4224,0.3875,0.3555,0.3262,0.2992,0.2745,0.2519,0.2311,0.212,0.1945,0.1784,0.1637,0.1502,0.1378,0.1264,0.116,0.1064,0.0976,0.0895,0.0822,0.0754
10,0.9091,0.8264,0.7513,0.683,0.6209,0.5645,0.5132,0.4665,0.4241,0.3855,0.3505,0.3186,0.2897,0.2633,0.2394,0.2176,0.1978,0.1799,0.1635,0.1486,0.1351,0.1228,0.1117,0.1015,0.0923,0.0839,0.0763,0.0693,0.063,0.0573
