r,P,payback_time
r0.02,p118000,pt14
r0.027,p114000,pt15
r0.02,p89000,pt19
r0.072,p109000,pt1000
r0.023,p124000,pt13
r0.055,p128000,pt16
r0.032,p112000,pt16
r0.033,p135000,pt13
r0.042,p106000,pt19
r0.016,p121000,pt13
r0.02,p121000,pt13
r0.005,p144000,pt10
r0.025,p118000,pt14
r0.023,p101000,pt17
r0.023,p135000,pt12
r0.032,p108000,pt17
r0.023,p105000,pt16
r0.02,p108000,pt15
r0.021,p93000,pt18
r0.02,p117000,pt14
r0.02,p149000,pt11
r0.02,p111000,pt15
r0.02,p119000,pt13
r0.013,p85000,pt18
r0.025,p134000,pt12
r0.023,p118000,pt14
r0.02,p108000,pt15
r0.032,p127000,pt14
r0.01,p139000,pt11
r0.01,p118000,pt13
r0.02,p124000,pt13
r0.028,p118000,pt14
r0.03,p111000,pt16
r0.013,p128000,pt12
r0.027,p132000,pt13
r0.013,p122000,pt13
r0.016,p126000,pt12
r0.027,p110000,pt16
r0.027,p144000,pt11
r0.027,p123000,pt14
r0.023,p121000,pt14
r0.01,p147000,pt10
r0.023,p122000,pt13
r0.032,p105000,pt17
r0.025,p124000,pt13
r0.031,p108000,pt16
r0.005,p127000,pt12
r0.027,p107000,pt16
r0.023,p129000,pt13
r0.038,p116000,pt16
r0.025,p108000,pt16
r0.02,p122000,pt13
r0.03,p135000,pt12
r0.016,p121000,pt13
r0.005,p130000,pt11
r0.01,p112000,pt13
r0.031,p118000,pt15
r0.005,p125000,pt12
r0.023,p103000,pt16
r0.028,p123000,pt14
r0.02,p113000,pt14
r0.013,p119000,pt13
r0.02,p113000,pt14
r0.01,p121000,pt12
r0.045,p140000,pt13
r0.06,p133000,pt16
r0.025,p113000,pt15
r0.037,p123000,pt15
r0.023,p125000,pt13
r0.02,p117000,pt14
r0.037,p130000,pt14
r0.057,p108000,pt23
r0.018,p106000,pt15
r0.005,p121000,pt12
r0.023,p149000,pt11
r0.02,p137000,pt12
r0.048,p123000,pt16
r0.016,p94000,pt17
r0.01,p125000,pt12
r0.031,p131000,pt13
r0.01,p120000,pt13
r0.027,p124000,pt14
r0.03,p127000,pt13
r0.025,p111000,pt15
r0.015,p131000,pt12
r0.041,p105000,pt19
r0.033,p118000,pt15
r0.013,p101000,pt15
r0.01,p118000,pt13
r0.02,p135000,pt12
r0.005,p114000,pt13
r0.02,p128000,pt12
r0.03,p109000,pt16
r0.027,p107000,pt16
r0.005,p114000,pt13
r0.02,p122000,pt13
r0.013,p133000,pt11
r0.02,p111000,pt15
r0.05,p115000,pt18
r0.038,p125000,pt15
r0.025,p128000,pt13
r0.038,p112000,pt17
r0.037,p121000,pt15
r0.015,p146000,pt11
r0.02,p118000,pt14
r0.03,p110000,pt16
r0.02,p121000,pt13
r0.032,p112000,pt16
r0.013,p126000,pt12
r0.013,p143000,pt11
r0.038,p135000,pt13
r0.005,p115000,pt13
r0.023,p114000,pt14
r0.037,p104000,pt18
r0.052,p129000,pt16
r0.025,p145000,pt11
r0.02,p113000,pt14
r0.02,p115000,pt14
r0.015,p127000,pt12
r0.023,p132000,pt12
r0.005,p113000,pt13
r0.02,p131000,pt12
r0.01,p120000,pt13
r0.01,p131000,pt11
r0.026,p117000,pt14
r0.02,p137000,pt12
r0.007,p131000,pt11
r0.005,p124000,pt12
r0.02,p110000,pt15
r0.016,p121000,pt13
r0.02,p134000,pt12
r0.013,p115000,pt13
r0.062,p116000,pt21
r0.02,p114000,pt14
r0.005,p96000,pt15
r0.01,p116000,pt13
r0.01,p89000,pt17
r0.055,p110000,pt21
r0.01,p106000,pt14
r0.023,p124000,pt13
r0.005,p112000,pt13
r0.027,p124000,pt14
r0.02,p124000,pt13
r0.013,p137000,pt11
r0.032,p119000,pt15
r0.062,p109000,pt24
r0.042,p121000,pt16
r0.06,p114000,pt21
r0.025,p113000,pt15
r0.023,p120000,pt14
r0.038,p127000,pt14
r0.01,p124000,pt12
r0.01,p98000,pt15
r0.02,p104000,pt16
r0.045,p109000,pt19
r0.035,p115000,pt16
r0.02,p118000,pt14
r0.01,p135000,pt11
r0.02,p138000,pt11
r0.027,p122000,pt14
r0.028,p125000,pt13
r0.007,p116000,pt13
r0.018,p108000,pt15
r0.03,p106000,pt17
r0.02,p109000,pt15
r0.052,p119000,pt18
r0.045,p103000,pt21
r0.013,p144000,pt11
r0.013,p109000,pt14
r0.014,p102000,pt15
r0.02,p106000,pt15
r0.025,p140000,pt12
r0.023,p121000,pt14
r0.045,p104000,pt20
r0.03,p131000,pt13
r0.005,p98000,pt15
r0.015,p121000,pt13
r0.025,p125000,pt13
r0.038,p135000,pt13
r0.05,p116000,pt18
r0.065,p123000,pt20
r0.021,p159000,pt10
r0.055,p120000,pt18
r0.009,p112000,pt13
r0.02,p112000,pt14
r0.05,p119000,pt17
r0.025,p127000,pt13
r0.02,p109000,pt15
r0.023,p125000,pt13
r0.023,p120000,pt14
r0.013,p136000,pt11
r0.032,p113000,pt16
r0.01,p133000,pt11
r0.025,p113000,pt15
r0.03,p101000,pt18
r0.01,p125000,pt12
r0.016,p115000,pt14
r0.005,p130000,pt11
r0.02,p135000,pt12
r0.057,p136000,pt15
r0.02,p119000,pt13
r0.01,p116000,pt13
r0.007,p114000,pt13
r0.023,p113000,pt15
r0.015,p101000,pt16
r0.02,p132000,pt12
r0.025,p120000,pt14
r0.052,p96000,pt26
r0.028,p102000,pt17
r0.062,p123000,pt19
r0.016,p124000,pt13
r0.021,p130000,pt12
r0.027,p109000,pt16
r0.045,p97000,pt23
r0.005,p115000,pt13
r0.02,p154000,pt10
r0.042,p112000,pt17
r0.007,p102000,pt14
r0.005,p130000,pt11
r0.03,p122000,pt14
r0.01,p119000,pt13
r0.02,p129000,pt12
r0.037,p139000,pt13
r0.032,p113000,pt16
r0.025,p151000,pt11
r0.01,p125000,pt12
r0.005,p124000,pt12
r0.031,p122000,pt14
r0.031,p133000,pt13
r0.027,p127000,pt13
r0.025,p119000,pt14
r0.016,p114000,pt14
r0.013,p98000,pt16
r0.023,p126000,pt13
r0.015,p132000,pt12
r0.02,p117000,pt14
r0.027,p121000,pt14
r0.027,p120000,pt14
r0.01,p124000,pt12
r0.02,p126000,pt13
r0.02,p106000,pt15
r0.005,p99000,pt15
r0.02,p118000,pt14
r0.045,p125000,pt15
r0.01,p122000,pt12
r0.01,p134000,pt11
r0.013,p90000,pt17
r0.005,p115000,pt13
r0.015,p114000,pt14
r0.018,p122000,pt13
r0.007,p130000,pt11
r0.072,p117000,pt26
r0.057,p119000,pt19
r0.042,p138000,pt13
r0.032,p135000,pt13
r0.01,p109000,pt14
r0.038,p111000,pt17
r0.013,p117000,pt13
r0.02,p127000,pt13
r0.02,p98000,pt17
r0.015,p127000,pt12
r0.02,p127000,pt13
r0.01,p108000,pt14
r0.01,p113000,pt13
r0.025,p107000,pt16
r0.023,p109000,pt15
r0.007,p111000,pt13
r0.01,p136000,pt11
r0.005,p106000,pt14
r0.035,p112000,pt16
r0.023,p107000,pt16
r0.016,p106000,pt15
r0.038,p139000,pt13
r0.016,p117000,pt13
r0.03,p132000,pt13
r0.027,p121000,pt14
r0.01,p122000,pt12
r0.023,p118000,pt14
r0.052,p119000,pt18
r0.025,p109000,pt15
r0.023,p106000,pt16
r0.01,p150000,pt10
r0.02,p136000,pt12
r0.045,p139000,pt13
r0.032,p119000,pt15
r0.02,p123000,pt13
r0.02,p136000,pt12
r0.01,p144000,pt10
r0.005,p138000,pt11
r0.018,p125000,pt13
r0.01,p147000,pt10
r0.027,p116000,pt15
r0.02,p114000,pt14
r0.02,p138000,pt11
r0.013,p123000,pt12
r0.042,p96000,pt22
r0.007,p114000,pt13
r0.055,p118000,pt19
r0.021,p118000,pt14
r0.023,p133000,pt12
r0.02,p123000,pt13
r0.016,p89000,pt18
r0.025,p118000,pt14
r0.013,p100000,pt15
r0.005,p121000,pt12
r0.072,p121000,pt24
r0.055,p107000,pt22
r0.025,p135000,pt12
r0.025,p113000,pt15
r0.01,p125000,pt12
r0.027,p120000,pt14
r0.005,p157000,pt9
r0.013,p104000,pt15
r0.01,p123000,pt12
r0.01,p126000,pt12
r0.015,p125000,pt12
r0.01,p129000,pt12
r0.057,p103000,pt25
r0.042,p123000,pt15
r0.023,p129000,pt13
r0.062,p119000,pt20
r0.02,p105000,pt15
r0.021,p141000,pt11
r0.03,p131000,pt13
r0.059,p130000,pt17
r0.023,p131000,pt12
r0.027,p93000,pt19
r0.005,p109000,pt13
r0.033,p108000,pt17
r0.016,p103000,pt15
r0.057,p92000,pt1000
r0.005,p126000,pt12
r0.025,p103000,pt17
r0.01,p127000,pt12
r0.02,p121000,pt13
r0.01,p116000,pt13
r0.01,p110000,pt14
r0.023,p127000,pt13
r0.025,p118000,pt14
r0.016,p102000,pt15
r0.023,p89000,pt19
r0.041,p114000,pt17
r0.01,p122000,pt12
r0.027,p118000,pt14
r0.013,p108000,pt14
r0.018,p118000,pt13
r0.032,p111000,pt16
r0.006,p123000,pt12
r0.01,p121000,pt12
r0.01,p147000,pt10
r0.013,p138000,pt11
r0.007,p95000,pt16
r0.005,p117000,pt12
r0.025,p109000,pt15
r0.06,p141000,pt15
r0.013,p112000,pt14
r0.018,p112000,pt14
r0.045,p121000,pt16
r0.02,p125000,pt13
r0.02,p113000,pt14
r0.023,p117000,pt14
r0.01,p107000,pt14
r0.025,p121000,pt14
r0.027,p136000,pt12
r0.01,p111000,pt14
r0.013,p143000,pt11
r0.005,p110000,pt13
r0.01,p104000,pt15
r0.037,p116000,pt16
r0.01,p105000,pt14
r0.02,p109000,pt15
r0.005,p125000,pt12
r0.027,p139000,pt12
r0.01,p123000,pt12
r0.025,p126000,pt13
